tcpDumpTimestamp;User_Name;NAS_IP_Address;Framed_IP_Address;NAS_Identifier;Acct_Status_Type;Acct_Delay_Time;Acct_Input_Octets;Acct_Output_Octets;Acct_Session_Id;Acct_Input_Gigawords;Acct_Output_Gigawords;Event_Timestamp;Framed_IP_Netmask;Acct_Unique_Session_Id;Timestamp
Tue Jun  9 04:48:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;115807;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 04:48:19 CEST;255.255.255.255;a4a559c8c5d03422;1433818099;
Tue Jun  9 04:53:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;563705;1429995;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 04:53:47 CEST;255.255.255.255;3a48eb713547a3be;1433818428;
Tue Jun  9 04:58:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;115982;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 04:58:19 CEST;255.255.255.255;a4a559c8c5d03422;1433818699;
Tue Jun  9 05:03:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;564797;1431884;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 05:03:47 CEST;255.255.255.255;3a48eb713547a3be;1433819028;
Tue Jun  9 05:08:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;116706;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 05:08:19 CEST;255.255.255.255;a4a559c8c5d03422;1433819299;
Tue Jun  9 05:13:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;565811;1433324;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 05:13:47 CEST;255.255.255.255;3a48eb713547a3be;1433819628;
Tue Jun  9 05:18:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;117038;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 05:18:19 CEST;255.255.255.255;a4a559c8c5d03422;1433819899;
Tue Jun  9 05:23:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;580698;1448415;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 05:23:47 CEST;255.255.255.255;3a48eb713547a3be;1433820228;
Tue Jun  9 05:28:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;118263;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 05:28:19 CEST;255.255.255.255;a4a559c8c5d03422;1433820499;
Tue Jun  9 05:33:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;581712;1449857;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 05:33:47 CEST;255.255.255.255;3a48eb713547a3be;1433820828;
Tue Jun  9 05:38:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;118341;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 05:38:19 CEST;255.255.255.255;a4a559c8c5d03422;1433821099;
